id,youtube_url,title,caption,synopsis,release_date,duration,language,country,thumbnail_url
SJUo1H1EkJI,https://www.youtube.com/watch?v=SJUo1H1EkJI,LIKE TURTLES,A mother is forced to raise her son in her car due to medical debt from losing her husband to cancer.,"After losing her husband to cancer and amassing a crippling amount of medical debt, Molly and her young son Ronnie are left to fend for themselves and have lost everything.
Molly struggles to get back on her feet as she tries to keep her son healthy on the streets even with an asthma condition and find a job after a decade as a stay-at-home mom. She also tries to instill a sense of security and stability for her son, shielding him from the difficulty of their life. But when Ronnie's asthma flares up, Molly must face the precariousness of her life, despite all of her attempts towards normality.",2021-03-03,1372.0,English,USA,assets/thumbnails/SJUo1H1EkJI.webp
smx86hHZk44,https://www.youtube.com/watch?v=smx86hHZk44,GAME NIGHT,"A young woman meets her boyfriend's parents during their regular game night. What begins as an innocent game, quickly changes into a nightmare.","Liz is meeting the parents of her new boyfriend Pepijn for the first time at their family night, where it becomes clear that his mother, Ingrid, dominates as matriarch.
Meeting in-laws is never easy to do, but for Liz it's complicated by the fact that Pepijn's family takes playing very, very seriously. And when Ingrid is determined to win at any cost, it makes for one very stressful night for Liz.",2018-11-02,890.0,English,USA,assets/thumbnails/smx86hHZk44.webp
4HJ1A2hA86A,https://www.youtube.com/watch?v=4HJ1A2hA86A,IT'S WHAT SHE WOULD HAVE WANTED,A group of friends destroy a dead friend's embarrassing secrets.,"Maggie welcomes a group of childhood friends back home after the unexpected death of Debra, one of their own. The long-time friends have not just converged for the funeral, but also to fulfill a childhood pact to destroy evidence of their friend's most embarrassing secrets.
So the group sneaks into Deb's childhood home and combs through her bedroom, unearthing incriminating objects and messages. But as they search, long-buried resentments bubble up between them -- including a few shocking secrets that might change how some of them feel about their friend.",2023-03-23,784.0,English,USA,assets/thumbnails/4HJ1A2hA86A.webp
IvfOdVYQ_NE,https://www.youtube.com/watch?v=IvfOdVYQ_NE,CHRISTMAS EVE EVE,"A woman goes home for the holidays, where she's forced to confront an unresolved family trauma.","Morgan is headed home to Kentucky for the holidays after a long while. Her parents are divorced, but she reconnects with both -- first with her mother Beverly and her new partner Jeff, who are packing up Morgan's old family home and moving to a new place.
On the way to one of her father Phil's family traditions -- a Christmas Eve Eve party -- she stops by his place. Phil lives alone, which worries his family because many of Phil's family have committed suicide around the holidays. Morgan finds her father embittered and angry, and they get into a fight -- one that forces them to confront her father's deep grief and sadness around the holidays.",2021-12-23,832.0,English,USA,assets/thumbnails/IvfOdVYQ_NE.webp
XLhGaEGVex0,https://www.youtube.com/watch?v=XLhGaEGVex0,RITUAL,"When a strict Christian family's daughter disappears from their remote farm, the local cop is disturbed by what he uncovers.","The Devlin family lives on a remote farm in Australia, left alone to live an existence based upon the most important thing in their lives: God.
But when their eldest daughter disappears, a local cop's arrival ruptures their carefully isolated world. His investigation unearths disturbing aspects of the family, but the truth is much darker than anyone imagines.",2020-01-24,908.0,English,USA,assets/thumbnails/XLhGaEGVex0.webp
DVlzqev8npM,https://www.youtube.com/watch?v=DVlzqev8npM,LORNE ft. Guy Pearce,"A wasteland traveler struggles with the weight of isolation. Then he's confronted by a mysterious stranger, who helps him realize his existential fears.","In an unspecified post-apocalyptic wasteland, a man named Lorne has set up his existence on the edge of a great wilderness, hiding out from what the world has become. When he encounters a stranger who stumbles upon his camp, the ensuing conversation reveals just how isolated Lorne is, and what the psychological costs of such isolation are.",2019-12-13,892.0,English,USA,assets/thumbnails/DVlzqev8npM.webp
TKGeXyYiLBo,https://www.youtube.com/watch?v=TKGeXyYiLBo,TWO DOSAS,"A geek takes his date to the most authentic Indian restaurant in the city. To his horror she goes off-menu, in Hindi.","Pavan -- a teacher in London who grew up in England -- takes fellow educator Chloe on a date. Pavan aims to impress ""English rose"" Chloe by taking her to the most authentic Indian restaurant in the city and eventually winning her over with a confident ""heart on the sleeve, sleeve in her face"" approach to romance.
But then Chloe upend Pavan's expectations, ordering an ""authentic"" Indian dish off-menu, demonstrating a rapport with the restaurant staff by speaking Hindi and eventually revealing to Pavan her past romance with another Indian man, who she backpacked with through India.
Pavan -- who ordered the somewhat cliched dosas at the restaurant -- becomes insecure, questioning his own authenticity as an Indian when faced with Chloe's obvious fluency with his supposedly ""native"" culture. As the night's misadventures continue, Pavan realizes he must either accept himself as he is, or spend the evening trying to keep up in a race he may not win.",2017-08-22,916.0,English,USA,assets/thumbnails/TKGeXyYiLBo.webp
rIwL3CCcLr4,https://www.youtube.com/watch?v=rIwL3CCcLr4,FRIGID,"Exhausted by her newborn, a first-time mother's home becomes a trap as her husband's sinister intentions emerge.","Leah, a young mother caring for her newborn at home. begins to chafe at the confines of her circumscribed life. Exhausted by the constant care of the baby and trapped in an increasingly claustrophobic house, she begins to question her husband Vincent's love and intentions as a more sinister side to him emerges.",2018-11-29,867.0,English,USA,assets/thumbnails/rIwL3CCcLr4.webp
hQ-XEhK7Or4,https://www.youtube.com/watch?v=hQ-XEhK7Or4,BALANCE,"Two climbers are connected by a rope. But one falls, leaving the other in an uneasy balance.","Henderson and Morris are friends scaling a mountain together, linked by a rope for safety. While crossing an easy passage, Henderson slips and falls. Morris quickly uses himself as a counterweight to keep from plunging to their deaths -- but both climbers find themselves hanging over a deep abyss with the balance between them unstable and perilous.
This action-adventure short -- which was a 2013 selection for the Academy Award for Best Live Action Short -- is nearly dialogue free, but there is still plenty of suspense and drama as the two climbers attempt to solve their dilemma.",2000-00-00,-1.0,English,USA,assets/thumbnails/hQ-XEhK7Or4.webp
1yXoxxrJzkQ,https://www.youtube.com/watch?v=1yXoxxrJzkQ,AT EASE,"Following an absence of three years, an on-leave Marine returns home to make amends with his ex-girlfriend on her wedding day.","Duncan is on leave from the Marines. He left his hometown three years ago, but only now has returned, just in time to face awkward questions from friends and family -- and make amends with his ex-girlfriend Kara on her wedding day.
But the meeting doesn't go quite as planned, leading Jacob and Kara on an unexpected path of reckoning.",2018-08-29,849.0,English,USA,assets/thumbnails/1yXoxxrJzkQ.webp
